id,a2z,lastname,author,profession,nationality,birthdate,deathdate,quote,keywords
50559,e,Eisenhower,Dwight D. Eisenhower,President,American,1890-10-14,28/03/1969,Motivation is the art of getting people to do what you want them to do because they want to do it.,"Art, Motivation, People, Want"
53416,f,Fair,Lorrie Fair,Athlete,American,05/08/1978,NULL,I don't know if there are words to describe my motivation.,"Motivation, Words"
53901,f,Farrell,Suzanne Farrell,Dancer,American,16/08/1945,NULL,"But what was my motivation was music, and the fact that I love to move around. I'm always moving around.","Love, Music, Motivation, Fact"
61470,g,Garr,Teri Garr,Actress,American,11/12/1944,NULL,I have worked enough and I am happy to be touring the country speaking about living with MS to give people inspiration and motivation to help themselves.,"Motivation, People, Inspiration, Country, Help, Living"
63822,g,Ginn,Greg Ginn,Musician,NULL,08/06/1954,NULL,"If people are really excited about their music, and that's their primary motivation, then that comes through in demo tapes. That's the most important ingredient.","Music, Motivation, People"
65285,g,Goleman,Daniel Goleman,Author,American,07/03/1946,NULL,"Motivation aside, if people get better at these life skills, everyone benefits: The brain doesn't distinguish between being a more empathic manager and a more empathic father.","Life, Manager, Father, Motivation, People, Being"
67382,g,Greenwood,Jonny Greenwood,Musician,English,05/11/1971,NULL,It's what the Pixies always said about music - they were writing songs and just trying not to be boring. That was their main motivation and it worked for them. I remember reading that and thinking that was the way to do it.,"Music, Motivation, Reading, Songs, Thinking, Trying, Writing"
69177,h,Hagler,Marvin Hagler,Athlete,American,23/05/1954,NULL,"You know looking back on it now I used the fight and after the fight as motivation, to make sure I was going to be the best middleweight in the world for a long time.","Time, Motivation, Fight, Now, World"
72719,h,Haynes,Jimmy Haynes,Athlete,American,05/09/1972,NULL,The last two years we got beat in this round. They came out with the motivation to win.,"Motivation, Years"
76244,h,Hines,Jerome Hines,Musician,American,08/11/1921,04/02/2003,"The motivation part is all essential in keeping my voice, but there are the human factors of discipline.","Motivation, Discipline, Voice"
76444,h,Hitchcock,Alfred Hitchcock,Director,English,1899-08-13,29/04/1980,"When an actor comes to me and wants to discuss his character, I say, 'It's in the script.' If he says, 'But what's my motivation?, ' I say, 'Your salary.'","Motivation, Character, Actor"
76641,h,Hock,Dee Hock,Businessman,American,NULL,NULL,"If you look to lead, invest at least 40% of your time managing yourself - your ethics, character, principles, purpose, motivation, and conduct. Invest at least 30% managing those with authority over you, and 15% managing your peers.","Time, Motivation, Character, Purpose, Authority, Ethics, Principles"
77691,h,Holtz,Lou Holtz,Coach,American,06/01/1937,NULL,Motivation is simple. You eliminate those who are not motivated.,Motivation
80943,i,Iacocca,Lee Iacocca,Businessman,American,15/10/1924,NULL,"Motivation is everything. You can do the work of two people, but you can't be two people. Instead, you have to inspire the next guy down the line and get him to inspire his people.","Work, Motivation, People"
92047,k,Klosterman,Chuck Klosterman,Critic,American,05/07/1972,NULL,The biggest problem in rock journalism is that often the writer's main motivation is to become friends with the band. They're not really journalists; they're people who want to be involved in rock and roll.,"Motivation, People, Friends, Journalism, Want, Writer"
95379,l,Landor,Walter Savage Landor,Poet,English,1775-01-30,1864-09-17,"We talk on principal, but act on motivation.","Motivation, Act, Talk"
95428,l,Landry,Tom Landry,Coach,American,11/09/1924,12/02/2000,I don't believe in team motivation. I believe in getting a team prepared so it knows it will have the necessary confidence when it steps on a field and be prepared to play a good game.,"Motivation, Confidence, Play, Will"
97662,l,Lee,Spike Lee,Director,American,20/03/1957,NULL,"All directors are storytellers, so the motivation was to tell the story I wanted to tell. That's what I love.","Love, Motivation"
104675,m,Maier,Hermann Maier,Athlete,Austrian,07/12/1972,NULL,"I sat down with my trainers to check my past seasons and to see what could be done to keep me motivated and in good shape. I had to find a new motivation, a new momentum.","Motivation, Past, Seasons"
105583,m,Mann,Aimee Mann,Musician,American,08/09/1960,NULL,"I certainly understand that we're all trying to make a living, but I'm not thinking about that when I'm making it. And if that's your sole motivation, it's going to reflect that narcissistic greed, and you're going to hear it in the music.","Music, Motivation, Greed, Living, Thinking, Trying"
106102,m,Mapplethorpe,Robert Mapplethorpe,Photographer,American,04/11/1946,09/03/1989,I don't think any collector knows his true motivation.,Motivation
107641,m,Maslow,Abraham Maslow,Psychologist,American,01/04/1908,08/06/1970,"Classic economic theory, based as it is on an inadequate theory of human motivation, could be revolutionized by accepting the reality of higher human needs, including the impulse to self actualization and the love for the highest values.","Love, Motivation, Values, Needs, Reality, Self, Theory"
108042,m,Matthews,Dave Matthews,Musician,South African,09/01/1967,NULL,I fear that our true motivation is about oil and our own flailing economy; about the failure to destroy Al Qaeda and about revenge.,"Motivation, Fear, Failure, Economy, Oil, Revenge"
109595,m,McDonnell,Mary McDonnell,Actress,American,28/04/1952,NULL,"That moment was very important because it was political. That's what has to be done, so they struck a deal. She figures his is a well-thought-out motivation that she felt was worthy trade-off. The motivation here is survival, and she has to think like a leader.","Leader, Motivation, Survival, Trade"
115373,m,Moore,Michael Moore,Activist,American,23/04/1954,NULL,"The motivation for war is simple. The U.S. government started the war with Iraq in order to make it easy for U.S. corporations to do business in other countries. They intend to use cheap labor in those countries, which will make Americans rich.","Business, Government, War, Motivation, Americans, Corporations, Countries, Iraq, Labor, Order, Will"
118945,n,Negroponte,John Negroponte,Diplomat,American,21/07/1939,NULL,"We negotiated with the Honduran government the establishment of a regional military training center, for training central American forces, but the primary motivation for doing that was to be able to bolster the quality, improve the quality of the El Salvadoran fighting forces.","Government, Quality, Motivation, American, Fighting, Military, Training"
119053,n,Nelson,Bob Nelson,-,NULL,NULL,NULL,An employee's motivation is a direct result of the sum of interactions with his or her manager.,"Manager, Motivation, Result"
120924,n,Norman,Donald Norman,Scientist,American,NULL,NULL,We expert teachers know that motivation and emotional impact are what matter.,"Motivation, Teachers"
121924,o,Ochoa,Ellen Ochoa,Astronaut,American,10/05/1958,NULL,"What everyone in the astronaut corps shares in common is not gender or ethnic background, but motivation, perseverance, and desire - the desire to participate in a voyage of discovery.","Motivation, Perseverance, Desire, Discovery, Gender"
125001,p,Parillaud,Anne Parillaud,Actress,French,16/05/1960,NULL,"I had never even thought I'd be an actress - I was supposed to be a lawyer. But the motivation is the same: when you act, you defend a role; you have to be convincing. It's the same career.","Motivation, Thought, Act, Career"
127472,p,Perrin,Philippe Perrin,Astronaut,French,06/01/1963,NULL,"And, I think, as a kid, I had a strong motivation to do something of my life. And, I think that's the strongest motivation I really got. And, that came obviously from my parents and my grandparents.","Life, Motivation, Grandparents"
130240,p,Poscente,Vince Poscente,-,NULL,NULL,NULL,"Walking your talk is a great way to motivate yourself. No one likes to live a lie. Be honest with yourself, and you will find the motivation to do what you advise others to do.","Motivation, Lie, Talk, Walking, Will"
135959,r,Riley,Pat Riley,Coach,American,20/03/1945,NULL,"There's always the motivation of wanting to win. Everybody has that. But a champion needs, in his attitude, a motivation above and beyond winning.","Motivation, Attitude, Winning, Needs"
135969,r,Riley,Pat Riley,Coach,American,20/03/1945,NULL,A champion needs a motivation above and beyond winning.,"Motivation, Winning, Needs"
136747,r,Roberts,Nora Roberts,Author,American,10/10/1950,NULL,"Action, reaction, motivation, emotion, all have to come from the characters. Writing a love scene requires the same elements from the writer as any other.","Love, Motivation, Action, Emotion, Writer, Writing"
138258,r,Rohn,Jim Rohn,Businessman,American,NULL,NULL,"If someone is going down the wrong road, he doesn't need motivation to speed him up. What he needs is education to turn him around.","Education, Motivation, Needs, Road, Wrong"
139371,r,Rossi,Bruno Rossi,Scientist,Italian,13/04/1905,21/11/1993,"The initial motivation of the experiment which led to this discovery was a subconscious feeling for the inexhaustible wealth of nature, a wealth that goes far beyond the imagination of man.","Imagination, Nature, Motivation, Wealth, Discovery, Feeling, Man"
141484,r,Rylance,Mark Rylance,Actor,English,18/01/1960,NULL,"But I find with Francis Bacon, some of the things were in the place, and someone who was connected with these schools of thought, and someone who had a motivation that equals the scope of the comedy and the tragedy in the plays.","Motivation, Thought, Comedy, Schools, Tragedy"
141523,r,Ryun,Jim Ryun,Athlete,American,29/04/1947,NULL,Motivation is what gets you started. Habit is what keeps you going.,"Motivation, Habit"
173024,w,Wajda,Andrzej Wajda,Director,Polish,06/03/1926,NULL,"In the same period, Polish literature also underwent some significant changes. From social-political literature, which had a great tradition and strong motivation to be that way, Polish literature changed its focus to a psychological rather than a social one.","Motivation, Focus, Literature, Tradition"
145902,s,Savant,Marilyn vos Savant,Writer,American,11/08/1946,NULL,"I think change is possible, but only for individuals who were never truly gay in the first place and who have a strong personal motivation to recover their heterosexuality.","Change, Motivation, First, Gay"
149079,s,Seles,Monica Seles,Athlete,Yugoslavian,02/12/1973,NULL,It doesn't matter who is playing or how old they are. I just worry about what I can control. It doesn't give me more or less motivation.,"Motivation, Control, Old, Worry"
151400,s,Sheldon,Sidney Sheldon,Novelist,American,11/02/1917,30/01/2007,I try to give both my heroes and villains an emotional dimensionality which provides the motivation for their actions.,"Motivation, Actions, Heroes"
151805,s,Shermer,Michael Shermer,Writer,NULL,08/09/1954,NULL,"Myths are stories that express meaning, morality or motivation. Whether they are true or not is irrelevant.","Motivation, Morality, Meaning, Myths"
153992,s,Smiley,Jane Smiley,Writer,American,26/09/1949,NULL,"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.","Experience, Motivation, Desire"
156883,s,Spitzer,Eliot Spitzer,Lawyer,American,10/06/1959,NULL,I don't care about motivation. I care about credibility.,"Motivation, Care, Credibility"
157998,s,Steele,Peter Steele,Musician,American,04/01/1962,NULL,"I like to put on hardcore when I have to clean my apartment, which I hate to do, but it's motivational. I like old heavy metal when I'm outside working on my car. Music has definite functions for me.","Music, Car, Motivational, Hate, Old"
158310,s,Steinberg,Leigh Steinberg,Businessman,American,27/03/1949,NULL,I just knew that economics had never been my big motivation.,"Motivation, Economics"
160296,s,Straczynski,J. Michael Straczynski,Producer,American,17/07/1954,NULL,"I also like to look at the dynamic that takes place between religion and science because, in a way, both are asking the same questions: Who are we? Where do we come from? Why are we here? Where are we going? The methodologies are diametrically opposed, but their motivation is the same; the wellspring is the same in both cases.","Religion, Science, Motivation"
160308,s,Strahan,Michael Strahan,Athlete,American,21/11/1971,NULL,"At the same time, it makes me feel like I have to prove myself to the new guys coming in as well as prove myself to the coaching staff, which is a good bit of motivation for me.","Time, Motivation, Coaching"
163224,t,Taylor,James Taylor,Musician,NULL,12/03/1948,NULL,That's the motivation of an artist - to seek attention of some kind.,"Motivation, Artist, Attention"
164837,t,Thompson,Tina Thompson,-,NULL,NULL,NULL,We had an opportunity to clinch a playoff berth and I think if that's not enough motivation I don't think you should be playing this game.,"Motivation, Opportunity"
167270,t,Trump,Donald Trump,Businessman,American,14/06/1946,NULL,"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.","Money, Motivation, Excitement"
168195,t,Twitchell,Paul Twitchell,Celebrity,American,02/10/1908,17/09/1971,"Y'know, the real reason why I was such a failure in the sense of being unable to make any sort of a living was because I was really not motivated. I had no motivation.","Motivation, Failure, Being, Living, Reason, Sense"
177236,w,Wheatley,Margaret J. Wheatley,Writer,American,NULL,NULL,"Even though worker capacity and motivation are destroyed when leaders choose power over productivity, it appears that bosses would rather be in control than have the organization work well.","Power, Work, Motivation, Control, Bosses, Leaders, Productivity"
180735,w,Witt,Katarina Witt,Athlete,German,03/12/1965,NULL,Money was never the motivation. It never should be in sports.,"Money, Sports, Motivation"
180894,w,Wolf,Markus Wolf,Public Servant,German,19/01/1923,NULL,"I tried to instill a different motivation, to give them the security and the conviction that they were doing something good, something necessary, something useful - if you want to use a grandiose expression, that they were doing something for peace.","Peace, Motivation, Conviction, Expression, Security, Want"
182614,y,Yan,Martin Yan,Celebrity,Chinese,NULL,NULL,I think a lot of times it's not money that's the primary motivation factor; it's the passion for your job and the professional and personal satisfaction that you get out of doing what you do that motivates you.,"Money, Motivation, Job, Passion, Satisfaction"
184254,z,Ziglar,Zig Ziglar,Author,American,06/11/1926,NULL,"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily.","Motivation, People"
